Helmet		https://textures.minecraft.net/texture/
RevivedHeart	4a61b4f8b070e4bc30a86b2290db6e57e2681c44e0250d1906a89adb8fc455b1
SalmonHat	-
ScarfGold	-
ScarfDiamond	-
ShadowGoggles	c465a847e114ef62e7833cbfb2fe5de5764bab5f10af125fd2d316238268279f
SkeletonHat	-
SlimeHat	-
SniperHelmet	-
SpiderHat	-
SpiritMask	-
SquidHat	-
ThornGold	-
ThornDiamond	-
VampireMask	-
WaterHydra	-
WitherGoggles	-
ZombieHat	-
ZombieHeart	-
