Accessory		https://textures.minecraft.net/texture/
PartyHatCrabd		98d99983ab5986921251a29bba96c8e734f5de084a296cb627bcd64fd0fba593
PartyHatCrabe		56b61f826dd6bfc1e3191a8369aeb0435c5a5335563431a538585ad039da1e0c
PartyHatCrabf		cb85828267e59e83edc3bef235102e43fb70922622ccc3809a326a8c5632199a
PigFoot			604faebefd0a8f721403e3142efecb83fbf4b7d1f705d0c9b44d91f0bf40127b
PiggyBank0		198df42f477f213ff5e9d7fa5a4cc4a69f20d9cef2b90c4ae4f29bd17287b5
PiggyBank1		14a7aac08593a1a0bc6666fe0aeedfb195d413fc9cf87c73f4a8c04da6418857
PiggyBank2		b590207aeea2d8fc80194f2a109f5b1999c91ebd377dff01b9e7ebe091a3a419
PotatoTalisman		318476e3cf0d5fc8ab1761065cf0e372b11004ed4c97156396e17c869b4aa389
PotionAffinityArtifact	372466603bae9063ce7d94351103469beca3c5fe2b1e977e6427def37699ec9
PotionAffinityRing	72a7dcbf7eca6b6f6386591d237991ca1b888a4f0c753ff9a3202cf0e92229e3
PotionAffinityTalisman	3a943baf71458596aff4eba879f8ac5d2ba267c98385e67673f48ebea5fa
RaggedySharkTooth	d77309ddebbdc278ee2772d92fa4905dd850c5f213a77ffaed5a67eecb23984a
RazarSharpSharkTooth	7792676664ac711488641f72b25961835613da9ffd43ea3bdd163cb365343a6
RedClawArtifact		caf59b8aa0f83546ef0d178ccf87e7ed88cf7858caae79b3633cbd75b650525f
RedClawRing		59d9b327ff82f6e109b8746c48bfb7f641e1552855493dd4118be24d5b02bc0a
RedClawTalisman		317b51e086f201448a4b45b0b91e97faf4d1739071480be6d5cab0a054512164
ScarfGrimoire		bafb195cc75f31b619a077b7853653254ac18f220dc32d1412982ff437b4d57a
ScarfStudies		6de4ab129e137f9f4cbf7060318ee1748dc39da9b5d129a8da0e614e2337693
ScarfThesis		8ce4c87eb4dde27459e3e7f85921e7e57b11199260caa5ce63f139ee3d188c
ScavengerTalisman	211ab3a1132c9d1ef835ea81d972ed9b5cd8ddff0a07c55a749bcfcf8df5
SeaCreatureArtifact	70a010791cb1c8902c6223207aa44fe9d1f84f3bc8ffb1b4cc3cf5573e056e71
SeaCreatureRing		eaf892574f948d5f840879325570e6beb511945766f2054a3c9a3609712dee77
SeaCreatureTalisman	eaa44b170d749ce4099aa78d98945d193651484089efb87ba88892c6fed2af31
SealOfTheFamily		7ab83858ebc8ee85c3e54ab13aabfcc1ef2ad446d6a900e471c3f33b78906a5b
ShadyRing		da8524274a65d8a80a0f44e103e2021e27c8916e965aa11f665ac0c49be40ec6
SharpSharkTooth		228e3fb6bd9887d60434ccd279ec3e59227826c9a2f8dd9ce9899ea6683d4ee8
SkeletonTalisman	Default Skeleton Texture
SpeedArtifact		f06706eecb2d558ace27abda0b0b7b801d36d17dd7a890a9520dbe522374f8a6
SpeedRing		c2da40a91f8fa7e1cbdd934da92a7668dc95d75b57c9c80a381c5e178cee6ba7
SpeedTalisman		8624bacb5f1986e6477abce4ae7dca1820a5260b6233b55ba1d9ba936c84b
SpiderArtifact		8300986ed0a04ea79904f6ae53f49ed3a0ff5b1df62bba622ecbd3777f156df8
SpiderRing		7652bd7617e56c756514f83c28dd1d96a7e5e167bf7fb593693fc65046f799
SpiderTalisman		50c410045cd3749c3a8ed856df411f6c33e9a8a6f9e57e521608a8ad8ed6eb37
SurvivorCube		da812852cf07459cf82a14002fb569782e6d7540f8884c02bf7d67743a649b70
TarantulaTalisman	442cf8ce487b78fa203d56cf01491434b4c33e5d236802c6d69146a51435b03d
TreasureArtifact	e10f20a55b6e188ebe7578459b64a6fbd825067bc497b925ca43c2643d059025
TreasureRing		6a1cc5525a217a399b5b86c32f0f22dd91378874b5f44d5a383e18bc0f3bc301
TreasureTalisman	31f320025142596396032cc0088e2ac36489f24cfa5e9dda13e081cf69f77f4d
VaccineTalisman		71408ede8b4f444015c59abd5cd32b8769de51881edabcc15abb6519f5b49
VillageAffinityTalisman	9c11d6c79b8a1f18902d783cdda4bdfb9d47337b73791028a126a6e6cf101def
WeddingRing		8fb265c8cc6136063b4eb15450fe1fe1ab7738b0bf54d265490e1ef49da60b7c
WitherArtifact		964e1c3e315c8d8fffc37985b6681c5bd16a6f97ffd07199e8a05efbef103793
WitherRelic		964e1c3e315c8d8fffc37985b6681c5bd16a6f97ffd07199e8a05efbef103793
WolfPaw			7afd22704eeb5c67be649ddfe1da0c658158a7058d01739de31c94f6b9808869
WolfRing		f83a2aa9d3734b919ac24c9659e5e0f86ecafbf64d4788cfa433bbec189e8
WolfTalisman		69d1d3113ec43ac2961dd59f28175fb4718873c6c448dfca8722317d67
WoodAffinityTalisman	219ad5215ba6c7e4e4d0668f02d3a9c937ac536acc75ac49e7bd7b1c8ccf80
ZombieArtifact		c3fb4e5db97f479c66a42bbd8a7d781daf201a8ddaf77afcf4aef87779aa8b4
ZombieRing		55d996cb5a8e5a71a274275f46944b944eeeacd2e1cadef918b05b879a03336f
ZombieTalisman		Default Zombie Texture
